Time (s), Instantaneous Heart Rate, Average Heart Rate, Brady/Tachycardia Occurrence
743.0,30.0,26.3486100676,B
744.0,30.0,26.3486100676,B
745.0,30.0,26.3486100676,B
746.0,30.0,26.3486100676,B
747.0,30.0,26.3486100676,B
748.0,30.0,26.3486100676,B
749.0,5.45454545455,26.3486100676,B
750.0,5.45454545455,26.1457550714,B
751.0,30.0,25.9429000751,B
752.0,30.0,25.9429000751,B
753.0,30.0,25.9429000751,B
754.0,30.0,26.1457550714,B
755.0,30.0,26.3486100676,B
756.0,30.0,26.3486100676,B
757.0,30.0,26.3486100676,B
758.0,30.0,26.3486100676,B
759.0,30.0,26.3486100676,B
760.0,30.0,26.3486100676,B
761.0,30.0,26.3486100676,B
762.0,5.45454545455,26.3486100676,B
763.0,5.45454545455,26.1457550714,B
764.0,30.0,25.9429000751,B
765.0,30.0,25.9429000751,B
766.0,30.0,25.9429000751,B
767.0,30.0,26.1457550714,B
768.0,30.0,26.3486100676,B
769.0,30.0,26.3486100676,B
770.0,30.0,26.3486100676,B
771.0,30.0,26.3486100676,B
772.0,30.0,26.3486100676,B
773.0,30.0,26.3486100676,B
774.0,30.0,26.3486100676,B
775.0,5.45454545455,26.3486100676,B
776.0,5.45454545455,26.1457550714,B
777.0,30.0,25.9429000751,B
778.0,30.0,25.9429000751,B
779.0,30.0,25.9429000751,B
780.0,30.0,26.1457550714,B
781.0,30.0,26.3486100676,B
782.0,30.0,26.3486100676,B
783.0,30.0,26.3486100676,B
784.0,30.0,26.3486100676,B
785.0,30.0,26.3486100676,B
786.0,30.0,26.3486100676,B
787.0,30.0,26.3486100676,B
788.0,5.45454545455,26.3486100676,B
789.0,5.45454545455,26.1457550714,B
790.0,30.0,25.9429000751,B
791.0,30.0,25.9429000751,B
792.0,30.0,25.9429000751,B
793.0,30.0,26.1457550714,B
794.0,30.0,26.3486100676,B
795.0,30.0,26.3486100676,B
796.0,30.0,26.3486100676,B
797.0,30.0,26.3486100676,B
798.0,30.0,26.3486100676,B
799.0,30.0,26.3486100676,B
800.0,30.0,26.3486100676,B
801.0,5.45454545455,26.3486100676,B
802.0,5.45454545455,26.1457550714,B
803.0,30.0,25.9429000751,B
804.0,30.0,25.9429000751,B
805.0,30.0,25.9429000751,B
806.0,30.0,26.1457550714,B
807.0,30.0,26.3486100676,B
808.0,30.0,26.3486100676,B
809.0,30.0,26.3486100676,B
810.0,30.0,26.3486100676,B
811.0,30.0,26.3486100676,B
812.0,30.0,26.3486100676,B
813.0,30.0,26.3486100676,B
